Entrances,Not_reside,Used,floors,appartment,RuleID,Name,Shape_Leng,Shape_Area,lat,lon
1,0,מגורים,2,4,1,,74.88235044,192.2397681,31.24511697,34.79164441
1,0,מגורים,2,4,1,,90.88868624,234.0787579,31.24521997,34.79136852
1,0,מגורים,2,4,1,,92.67369294,250.3855219,31.24534832,34.79104835
1,0,מגורים,2,4,1,,94.57336976,211.8364132,31.24562792,34.79111124
1,0,מגורים,3,4,1,,79.24724372,200.2430254,31.24547559,34.79077996
1,0,מגורים,3,4,1,,84.95768345,255.1350279,31.24602514,34.79080351
1,0,מגורים,3,4,1,,85.90312481,241.8386073,31.24577969,34.79071436
1,0,מגורים,4,8,1,,66.64096773,192.0671688,31.24590562,34.7909836
1,0,מגורים,4,8,1,,48.4988237,120.1038983,31.24540132,34.79174171
1,0,מגורים,4,8,1,,48.62046297,121.5026248,31.24553461,34.79181485
1,0,מגורים,4,8,1,,57.24654579,155.9103321,31.24531486,34.79264671
1,0,מגורים,4,8,1,,57.12357291,195.0458158,31.24482901,34.79338155
1,0,מגורים,4,8,1,,67.21920965,196.9763053,31.24489089,34.79426627
2,0,מגורים,2,2,1,,84.94527539,237.0278924,31.24538715,34.79451397
1,0,מגורים,4,8,1,,67.26765591,199.0645487,31.24604016,34.79511088
1,0,מגורים,3,4,1,,86.10166631,248.1487076,31.24567513,34.79468203
1,0,מגורים,4,8,1,,68.66699807,197.3294454,31.24608899,34.79494857
1,0,מגורים,2,4,1,,76.16162052,263.0313316,31.24519447,34.79430002
